-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Douglas C-118A,Douglas C-118A53-3301A,66   (passengers:56  crew:10),"July 13, 1956",46   (passengers:38  crew:8),?,0,"Near Brows Mills, New Jersey",Military - U.S. Air Force,53-3301A,McGuire AFB - Harmon AFB,Crashed into a wooded area 2 minutes after taking off from McGuire Air Force Base. There was thunderstorm activity at the time. Microburst windshear.,1535,1956,44672
ACCIDENT DETAILS,Convair CV-440-11,Convair CV-440-11HB-IMD,4   (passengers:0  crew:4),"July 15, 1956",4   (passengers:0  crew:4),?,0,"Shannon, Ireland",Swissair,HB-IMD,Gander - Shannon,"The plane was on delivery from San Diego to Zürich via New York, Gander and Shannon. The crew broke off their GCA runway 23 approach after establishing visual reference, and turned for a runway 05 approach. The plane banked sharply, dropped and crashed. Error in judgement by pilot in executing  an abnormally steep turn onto final approach.",0135,1956,335
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3LV-ACD,18   (passengers:14  crew:4),"July 16, 1956",18   (passengers:14  crew:4),?,0,"Rio Cuarto, Argentina",Aerolineas Argentinas,LV-ACD,Buenos Aires - Rio Cuarto,"Crashed while making an approach to Rio Cuarto. The decision of the pilot to descend en route, without justifiable reason, below the minimum altitude prescribed for a night flight and in weather conditions which made it his duty to follow IFR procedure.",0715,1956,13328
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3XY-ADC,22   (passengers:18  crew:4),"August 08, 1956",12   (passengers:9  crew:3),?,0,"Thazi, Burma",Union of Burma Airways,XY-ADC,Rangoon - Mandalay,Struck Mt Pindaya near Thazi .,?,1956,14348/2579
ACCIDENT DETAILS,Douglas DC-6B,Douglas DC-6BCF-CUP,22   (passengers:14  crew:8),"August 29, 1956",15   (passengers:11  crew:4),307,0,"Cold Bay, Alaska",Canadian Pacific Air Lines,CF-CUP,Vancouver - Cold Bay - Tokyo - Hong Kong,The aircraft crashed after a missed approach. The crew executing full retraction of flaps without increasing power or changing attitude resulting in loss of lift after the missed approach.,2045,1956,43843/324
ACCIDENT DETAILS,Curtiss C-46A-45-CU,Curtiss C-46A-45-CUJY-ABV,57   (passengers:53  crew:4),"September 09, 1956",1   (passengers:1  crew:0),?,0,"Amman, Jordan",Jordan International Airlines,JY-ABV,Amman - Kuwait,"The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames.",?,1956,27069
ACCIDENT DETAILS,Douglas DC-3 / Cessna 170B,Douglas DC-3 / Cessna 170BN33315 / N8143A,18   (passengers:14  crew:4),"September 09, 1956",0   (passengers:0  crew:0),190,0,"Bartlesville, Oklahoma",Continental Airlines,N33315 / N8143A,Tulsa - Bartlesville,Midair collision. Both planes landed safely. Failure of both aircraft to observe and avoid the other aircraft.,1432,1956,4978 / 20995
ACCIDENT DETAILS,Stinson AT-19,Stinson AT-19N 79069,5   (passengers:4  crew:1),"October 02, 1956",5   (passengers:4  crew:1),701,0,"Near Nome, Alaska",Alaska Airlines,N 79069,Unalakleet and Nome,Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.,1825,1956,FK-975
ACCIDENT DETAILS,Douglas C188-B,Douglas C188-B1311588,59   (passengers:50  crew:9),"October 10, 1956",59   (passengers:50  crew:9),?,0,"Off Land's End, England",Military - U.S. Navy,1311588,RAF Lakenheath - McGuire AFB,The plane disappeared over the Atlantic while on a flight from Royal Air Force Base in England to McGuire Air Force Base in New Jersey. Cause unknown.,2210,1956,43691/321
ACCIDENT DETAILS,Boeing  377 Stratocruiser,Boeing  377 StratocruiserN90943,31   (passengers:24  crew:7),"October 16, 1956",0   (passengers:0  crew:0),943,0,Over the Pacific Ocean,Pan American World Airways,N90943,Honolulu - San Francisco,"The aircraft ditched into the Pacific Ocean while on a flight from San Francisco to Honolulu after losing the No. 1 and then the No. 4 engine. The aircraft circled around the U.S. Coast Guard cutter ""Pontchartrain"", at Ocean Station November until daybreak after which it made a successful ditching with no casualties. Probable Cause: An initial mechanical failure which precluded feathering the No.1 propeller and a subsequent mechanical failure which resulted in a complete loss of power from the No.4 engine, the effects of which necessitated a ditching. The aircraft was named ""Clipper Sovereign of the Sky.""",0615,1956,15959
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VT-DGK,3   (passengers:0  crew:3),"October 19, 1956",3   (passengers:0  crew:3),?,0,"Agartala, India",Indian Airlines,VT-DGK,?,"The cargo plane crashed after an attempted go-around. On final, as the pilot-in-command was unable to locate the runway, he decided to make a new go around when the aircraft struck trees and crashed in flames few km short of runway.",?,1956,KAL-2
ACCIDENT DETAILS,Curtiss C-46,Curtiss C-46SU-AAB,16   (passengers:12  crew:4),"October 28, 1956",16   (passengers:12  crew:4),?,0,Over the Mediterranean Sea,Military - Egyptian Air Force,SU-AAB,Damascus- Cairo,Shot down by the Israeli Air Force.,2200,1956,?
ACCIDENT DETAILS,Handley Page HP-1 Hermes,Handley Page HP-1 HermesG-ALDJ,80   (passengers:74  crew:6),"November 05, 1956",7   (passengers:5  crew:2),?,0,"Blackbushe, England",Britavia,G-ALDJ,Tripoli - Blackbushe,While attempting to land the aircraft descended below the ILS glideslope and hit a tree. Using the lights of the airport the captain misjudged the height he was flying.,2352,1956,HP-81/11
ACCIDENT DETAILS,de Havilland DH-114 Heron 2B,de Havilland DH-114 Heron 2BLN-SUR,12   (passengers:10  crew:2),"November 07, 1956",2   (passengers:1  crew:1),?,0,"Hommelfjell, Norway",Braathens,LN-SUR,Trondheim - Oslo,"The aircraft took off, experienced icing, lost altitude and crashed into Hommelfjell Mountain. Unusually heavy icing which the aircraft encountered. Severe downdraft immediately prior to the crash may have been a contributing factor.",0950,1956,14093
ACCIDENT DETAILS,Douglas C-54A-10-DC,Douglas C-54A-10-DCXA-HEG,25   (passengers:20  crew:5),"November 15, 1956",25   (passengers:20  crew:5),?,0,"Puerto Somoza, Nicaragua",Aerovias Guest,XA-HEG,Tocumen - Guatemala City,An unsuccessful belly landing was attempted on flat terrain following a fire in the fuel system.,1453,1956,10324
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3HK-385,36   (passengers:33  crew:3),"November 17, 1956",36   (passengers:33  crew:3),?,0,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,HK-385,Buenaventura - Cali,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route.",1645,1956,1971
ACCIDENT DETAILS,Douglas DC-6B,Douglas DC-6BI-LEAD,35   (passengers:25  crew:10),"November 24, 1956",34   (passengers:24  crew:10),?,8,"Paris, France",Linee Aeree Italiane,I-LEAD,Rome - Paris -  Shannon - New York City,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.",0018,1956,45075
ACCIDENT DETAILS,Ilyushin IL-12B,Ilyushin IL-12BOK-DBP,23   (passengers:18  crew:5),"November 24, 1956",23   (passengers:18  crew:5),?,0,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,OK-DBP,Eglisau - Prague,Crashed into a field shortly after taking off about 12 km north of the airport.,1820,1956,93013517
ACCIDENT DETAILS,Lockheed 749-79-34 Constellation,Lockheed 749-79-34 ConstellationYV-C-AMA,25   (passengers:18  crew:7),"November 27, 1956",25   (passengers:18  crew:7),253,0,"Caracas, Venezuela",Linea Aeropostal Venezolana,YV-C-AMA,New York - Caracas,"Struck Silla de Caracas Mountain at 6,700 feet while approaching to land at Maiquetia. Navigation error. The pilot did not follow prescribed approach procedures. St. Louis Cardinal outfielder, Charlie Peete, 27, killed.",0815,1956,2560
ACCIDENT DETAILS,Consolidated PBY-5A Catalina,Consolidated PBY-5A CatalinaHK-133,16   (passengers:11  crew:5),"December 08, 1956",14   (passengers:10  crew:4),?,0,"Caqueta, Colombia",AIDA,HK-133,Bogota - Medellin - Quibdo,"The starboard engine failed shortly after takoff and  the plane crash into Quetame Hill, 25km northwest of Santa Cecilia  Airport. Complete failure of the starboard engine due to the breakdown of the lubricating system. Recklessness of the pilot in taking off from a closed airport while aware of the poor weather conditions. The aircraft was also overloaded.",0705,1956,?
ACCIDENT DETAILS,Canadair DC-4M-2 Northstar,Canadair DC-4M-2 NorthstarCF-TFD,62   (passengers:59  crew:3),"December 09, 1956",62   (passengers:59  crew:3),810-9,0,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,CF-TFD,Vancouver - Calgary - Toronto - Montreal,"The aircraft departed Vancouver en route to Calgary. Some 50 minutes later the pilot reported a fire in the No. 2 engine and was turning back. While flying under the power of 3 engines, the aircraft encountered severe icing, turbulence or other difficulty which led to the loss of control by the crew. It could not be determined why the aircraft was 12 miles south of the assigned airway. The plane crashed high into Mount Slesse. The bodies and wreckage were not found until 05/12/1957 and the wreckage still remains at the site which is now a memorial.",1910,1956,128
ACCIDENT DETAILS,Vickers 708 Viscount,Vickers 708 ViscountF-BGNK,5   (passengers:0  crew:5),"December 12, 1956",5   (passengers:0  crew:5),?,0,"Dannemois, France",Air France,F-BGNK,Training,Crashed in a steep angle of attack.,0900,1956,8
ACCIDENT DETAILS,Convair CV-340-58,Convair CV-340-58YU-ADA,30   (passengers:27  crew:3),"December 22, 1956",3   (passengers:1  crew:2),?,0,"Grub, Germany",JAT Yugoslav Airlines,YU-ADA,Wien - Munchen,"The co-pilot acting as pilot-in-command and under the instruction of the captain began a descent to land until the aircraft hit the ground, left wing first. Both wings detached and the fuselage slid 1,200 feet.",2103,1956,162
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3I-LINC,21   (passengers:17  crew:4),"December 22, 1956",21   (passengers:17  crew:4),?,0,"Mt. Giner, Italy",Linee Aeree Italiane,I-LINC,Rome - Milan,The aircraft strayed off the assigned airway and hit a mountain. The pilot did not follow the airways assigned in the flight plan. He did not check his direction and position along the new route. Pilot error.,1820,1956,9101
ACCIDENT DETAILS,Lockheed C-121C Super Constellation,Lockheed C-121C Super Constellation54-0165,38   (passengers:31  crew:7),"December 31, 1956",12   (passengers:12  crew:0),?,0,"Dhahran, Saudi Arabia",Military - U.S. Air Force,54-0165,Charleston - Hamilton - Horta - Lisbon - Tripoli - Dhahran,Crashed and burned while attempting to land in heavy fog at night.,0004,1956,4184
ACCIDENT DETAILS,Convair CV-240-0,Convair CV-240-0N94247,10   (passengers:7  crew:3),"January 06, 1957",1   (passengers:1  crew:0),327,0,"Owasso, Oklahoma",American Airlines,N94247,Joplin - Owasso,"Struck trees, hit the ground, and slid 500 ft. after landing short of the runway in rapidly deteriorating condtions.  The captain's lack of alertness in allowing the first officer to continue an instrument descent to an altitude too low to permit terrain clearance.",0001,1957,104
ACCIDENT DETAILS,Vickers 615 Viking 1B,Vickers 615 Viking 1BT-11,33   (passengers:29  crew:4),"January 11, 1957",17   (passengers:15  crew:2),?,1,"Near Buenos Aires, Argentina",Lineas Aereas del Estado,T-11,Buenos Aires - Mar Del Plata - Mendoza,The domestic flight crashed and burned immediately after takeoff from Buenos Aires after overrunning the runway. Too short a runway and excessive cross-winds for the type of aircraft.,0900,1957,188
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3AN-AEC,16   (passengers:13  crew:3),"January 23, 1957",16   (passengers:13  crew:3),?,0,"Ometepe Island, Nicaragua",Lanica,AN-AEC,San Carlos - Managua,"The aircraft hit Concepcion volcano while en route. The aircraft made a left turn towards the volcano, banked sharply in descent, enered a rapid climb and then crashed. Unexplained loss of control.",1118,1957,12312
ACCIDENT DETAILS,SNCASE SE.2010 Armagnac,SNCASE SE.2010 ArmagnacF-BAVG,70   (passengers:60  crew:10),"January 29, 1957",2   (passengers:1  crew:1),?,0,"Paris, France",Air France,F-BAVG,Tunis - Paris,"A first ILS attempt to land at Orly Airport failed. The crew decided to try a second time with GCA guidance. Full power was applied when the crew was not able to see the runway. The aircraft continued to descend impacting the ground in a right bank. The right wing separated and the main fuselage broke-up into four parts. Stalling, as a result of delayed application of power in a final approach configuration and inadequate control of heading, airspeed and altitude after the visual was lost.",1924,1957,06
ACCIDENT DETAILS,Douglas DC-7B / U.S. Air Force F-89J,Douglas DC-7B / U.S. Air Force F-89JN8210H/52-187OA,6   (passengers:0  crew:6),"January 31, 1957",5   (passengers:0  crew:5),?,3,"Near Sunland, California",Douglas Aircraft,N8210H/52-187OA,Santa Monica - Santa Monica,"Midair collision between a DC-7 and F-89J Air Force fighter. The DC-7 crashed into a playground of a school  killing 3 junior high school children 3 miles northwest of Sunland. The F-89 crashed into the mountains. Four crew members on the DC-7 were killed. One crew member aboard the F-89 was killed and  the other ejected to safety. The high rate of near head-on closure at high altitude, which together with physiological limitations, resulted in a minimum avoidance opportunity during which the pilots didn't see each other's aircraft. It was the first test flight of the DC-7B. One of the 3 students killed in the accident was the best friend of singer Richie Valens, who died in an airplane crash two years later. Archie Twitchell, test pilot and actor, 50, killed. The high rate of near head-on closure at high altitude in a minimum aviodance opportunity during which both pilots did not see the other aircraft.",1118,1957,45192 / 4447
ACCIDENT DETAILS,Douglas DC-6A,Douglas DC-6AN34954,101   (passengers:95  crew:6),"February 01, 1957",21   (passengers:21  crew:0),823,0,"New York, New York",Northeast Airlines,N34954,New York City - Miami,"Shortly after lifting off from La Guardia Airport in a snowstorm, the plane rolled sharply to the left and crashed on Rikers Island. The failure of the captain to properly observe and interpret his flight instruments and maintain control of his aircraft. Several inmates from the Rikers Island Prison made some heroic rescues and were later pardoned.",1802,1957,44678/543
ACCIDENT DETAILS,Douglas C-124C,Douglas C-124C51-141A,159   (passengers:149  crew:10),"February 22, 1957",22   (passengers:19  crew:3),?,0,"Kimpo Air Base, South Korea",Military - U.S. Air Force,51-141A,"Kimpo AB - Tokyo, Japan","The No. 3 engine seized, causing the propellor to come loose and slice through the side  of the fuselage makng two full turns before exiting. It took two men out with it , idled the No. 4 engine and cut the throttle cable.  While  attempting  an emergency return landing at Kimpo Air Base, level flight could not be maintained and the aircraft descended, crashing into the Han River.",2000,1957,43475
ACCIDENT DETAILS,Douglas C-54B,Douglas C-54BN90449,5   (passengers:2  crew:3),"March 02, 1957",5   (passengers:2  crew:3),100,0,"Blyn, Washington",Alaska Airlines,N90449,Fairbanks - Seattle,"Crashed into a densly wooded mountain, 3 miles east of Blyn, while en route to Seattle. Navigation error and poor judgement by the pilot in entering an overcast mountainous area at too low an altitude.",1719,1957,27239
ACCIDENT DETAILS,Curtiss C-46D-15--CU,Curtiss C-46D-15--CU51-1110,17   (passengers:15  crew:2),"March 04, 1957",17   (passengers:15  crew:2),?,0,"Near Miho AB, Japan",Japanese Air Force,51-1110,?,"While attempting to land, the plane lost air speed and crashed into the sea, 400 yards offshore.",?,1957,33737
ACCIDENT DETAILS,Blackburn Beverley C Mark 1,Blackburn Beverley C Mark 1XH117,22   (passengers:17  crew:5),"March 05, 1957",18   (passengers:15  crew:3),?,2,"Drayton, England",Military -Royal Air Force,XH117,Drayton - Multa,The aircraft crashed into trees and farm buildings about a half-an-hour after taking off from Abingdon airfield.  Fuel starvation due to an valve being installed backwards.,1100,1957,1023
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3HK-155,15   (passengers:12  crew:3),"March 09, 1957",15   (passengers:12  crew:3),?,0,"El Soldado, Colombia",AVIANCA,HK-155,Condoto - Buenaventura - Cali,Crashed into mountains  located 32 km west of Tuluá while en route. Pilot did not follow prescribed route nor follow prescribed IFR procedures.,1000,1957,4338
ACCIDENT DETAILS,Vickers Viscount 701,Vickers Viscount 701G-ALWE,20   (passengers:15  crew:5),"March 14, 1957",20   (passengers:15  crew:5),411,2,"Manchester, England",British European Airways,G-ALWE,Amsterdam - Manchester,"The plane suddenly veered and banked to the right while making an approach to land. The plane crashed into houses. Fracture of a 9/16"" bolt on the starboard flap due to fatigue led to loss of control of the aircraft.",1346,1957,004
ACCIDENT DETAILS,Douglas C-47-A-75-DL Skytrain,Douglas C-47-A-75-DL Skytrain2100925,25   (passengers:22  crew:3),"March 17, 1957",24   (passengers:21  crew:3),?,0,"Near Cebu, Philippines",Military - Philippine Air Force,2100925,Cebu - Manila,"The plane had just taken off from Cebu bound  for Manila when it crashed 20 miles NW of the city. President Ramon Magsaysay, 50, of the Philippines died along with twenty-three others when the plane struck Mt. Manunggal. Magsaysay was on a campaigning trip for reelection. Metal fatigue.",0140,1957,19388
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3CP-535,19   (passengers:16  crew:3),"March 18, 1957",19   (passengers:16  crew:3),?,0,"Near Sayari, Bolivia",Lloyd Aereo Boliviano,CP-535,Cochabamba - Oruro,Crashed into Andies peak while en route. Wreckage found 100 miles northeast of Cochabamba.,?,1957,4867
ACCIDENT DETAILS,Boeing C-97C,Boeing C-97C50-702A,67   (passengers:57  crew:10),"March 22, 1957",67   (passengers:57  crew:10),?,0,Over the North Pacific Ocean,Military - U.S. Air Force,50-702A,Travis AFB - Tokyo,"Disappeared in  a storm 200 miles southeast of Tokyo, Japan while on a flight from Travis Air Force Base to Tokyo.  Cause unknown.",0037,1957,16246
ACCIDENT DETAILS,Curtiss C-46A-45-CU,Curtiss C-46A-45-CUPP-VCF,40   (passengers:35  crew:5),"April 07, 1957",40   (passengers:35  crew:5),?,0,"Bage, Brazil",Varig,PP-VCF,Bage - Porto Alegra,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs.",?,1957,30283
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3F-BEIK,34   (passengers:30  crew:4),"April 08, 1957",34   (passengers:30  crew:4),?,0,"Algiers, Algeria",Air France,F-BEIK,El Oued - Biskra - Alger - Marseille - Paris,"Crashed just after takeoff, one mile from the airfield. Left engine failure.",?,1957,14411/25856
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3PP-ANX,30   (passengers:26  crew:4),"April 10, 1957",26   (passengers:23  crew:3),1800,0,"Anchieta Island, Brazil",REAL,PP-ANX,Rio de Janerio - Sao Paulo,"While en route, fire broke out in the starboard engine. As the plane lost altitude and because of reduced visibility, the pilot did not see the peak of a mountain. When he tried to pull up the plane stalled and crashed. Engine failure.",1520,1957,13048
ACCIDENT DETAILS,Consolidated B-24J,Consolidated B-24JXA-KUN,3   (passengers:0  crew:3),"April 15, 1957",3   (passengers:0  crew:3),?,1,"Merida, Mexico",Transportes Aéreos Mexicanos,XA-KUN,Medrida - Mexico City,The accident was due to a maneuvering error which consisted in making two turns onto the Mexico City heading without conforming the distance and procedure specifications and below the prescribed altitudes and speeds. This error was aggravated by a probable shifting of the load due to improper securing.,0753,1957,?
ACCIDENT DETAILS,Vickers Valetta C-Mk.1,Vickers Valetta C-Mk.1VW832,24   (passengers:21  crew:3),"April 17, 1957",24   (passengers:21  crew:3),?,0,"Near El Quweira, Jordan",Military -Royal Air Force,VW832,"Aqaba AFB - Habbaniya, Iraq",Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.,0830,1957,393
ACCIDENT DETAILS,Lockheed Super Constellation,Lockheed Super ConstellationF-BGNE,?   (passengers:?  crew:?),"April 20, 1957",1   (passengers:1  crew:0),?,0,"Jirkouk, Iraq",Air France,F-BGNE,"Tehran, Iran - Istanbul, Turkey","Explosive decompression. A passenger was sucked out of a window at 18,000 feet when the window he was sitting next to shattered. The body was never recovered.",?,1957,4514
ACCIDENT DETAILS,Vickers Viking 1B,Vickers Viking 1BG-AJBO,35   (passengers:30  crew:5),"May 01, 1957",34   (passengers:29  crew:5),?,0,"Blackbushe, Hants, England",Eagle Aviation,G-AJBO,Blackbushe - Tripoli,Crashed while attemting an emergency return to the airport shortly after taking off. Engine failure. The failure of the captain to maintain height and a safe flying speed when approaching to land on one engine after the failure of the left engine for reasons unknown.,2120,1957,241
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47AVT-AUV,3   (passengers:0  crew:3),"May 05, 1957",1   (passengers:0  crew:1),?,0,"Santoshpur, India",Indian Airlines,VT-AUV,Silhcar - Calcutta,"The accident is attributed to the insufficient altitude at which the aircraft was flown during an attempt to fly through a thunderstorm. Downdrafts and divergent winds encountered, forced the aircraft to the ground.",?,1957,20318
ACCIDENT DETAILS,Bristol 170 Freighter,Bristol 170 FreighterEC-ADI,37   (passengers:32  crew:5),"May 09, 1957",37   (passengers:32  crew:5),111,0,"Barajas, Madrid, Spain",Aviaco,EC-ADI,Santiago de Compostella - Madrid,"Crashed while attemping to land. The aircraft hit the ground with the front part of the fuselage, the right wing and the right engine propeller and caught fire. Procedural errors by the pilot.",1904,1957,12757
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-4N68736,3   (passengers:0  crew:3),"May 13, 1957",2   (passengers:0  crew:2),?,0,"Narsarressuak, Greenland",U.S. Overseas Airways,N68736,Broughton Island - Narsarsuaq,Crashed into an ice cap. White-out conditions. Incorrect indication on navigation charts.,0335,1957,7449
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VT-CFB,2   (passengers:0  crew:2),"May 13, 1957",2   (passengers:0  crew:2),?,3,"New Delhi, India",Indian Airlines,VT-CFB,Training,"During a training exercise the aircraft approached a stall entered a spin, partially recovered but crashed.",?,1957,13626
ACCIDENT DETAILS,Vickers 615 Viking 1B,Vickers 615 Viking 1BT-3,16   (passengers:11  crew:5),"May 13, 1957",16   (passengers:11  crew:5),?,0,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,T-3,San - Carlos,"The pilot lost in rain and fog searched for a landing area until the plane ran out of fuel and crashed into a 4,500 foot mountain.",?,1957,151
ACCIDENT DETAILS,Ilyushin P-14,Ilyushin P-14SP-LNF,13   (passengers:8  crew:5),"June 14, 1957",9   (passengers:5  crew:4),232,0,"Near Moscow, Russia",LOT Polish Airlines,SP-LNF,Warsaw - Moscow,The aircraft descended below safe altitude and struck the ground in rain and poor visibility. The crew's application of an approach procedure other than that prescribed by the airport authority.,2310,1957,6341407
ACCIDENT DETAILS,Douglas C-47B,Douglas C-47BHB-IRK,9   (passengers:0  crew:9),"June 18, 1957",9   (passengers:0  crew:9),?,0,"Bodensee, Switzerland",Swissair,HB-IRK,Training,"The stalling of the aircraft following a loss of airspeed, whereupon it unintentionally went into a spin and crashed into the water. In view of insufficient altitude, it was not possible to level off the aircraft.",1020,1957,20737
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47AN88835,3   (passengers:0  crew:3),"June 22, 1957",3   (passengers:0  crew:3),?,0,"Near Clarksburg, Maryland",Capital Airlines,N88835,Training,"Loss of airspeed while executing maneuvers during a training flight, resulting in a stall followed immediately by a spin from an altitude too low to effect recovery.",0750,1957,19448
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3CF-EPI,18   (passengers:15  crew:3),"June 23, 1957",14   (passengers:12  crew:2),?,0,"Port Hardy, BC, Canada",Pacific Western,CF-EPI,Port Hardy - Vancouver,Crashed while attempting an emergency landing after taking off with control difficulties. Jammed elevator. Crew forgot to remove the ground locks.,1420,1957,7408
ACCIDENT DETAILS,L-Hudson,L-Hudson?,?   (passengers:?  crew:?),"June 24, 1957",6   (passengers:?  crew:?),?,?,"Horn Island, Queensland, Australia",Adastra Airways,?,?,Crashed on approach.,?,1957,?
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3AP-AJS,24   (passengers:20  crew:4),"July 01, 1957",24   (passengers:20  crew:4),?,0,"Bay of Bengal, Pakistan",Pakistan International Airlines,AP-AJS,Chittagong - Dhaka,Went into a spin and cashed onto tidal flats off Charlakhi Island during a storm.,?,1957,12501
ACCIDENT DETAILS,Lockheed L-414 Hudson,Lockheed L-414 HudsonCF-CRL,4   (passengers:2  crew:2),"July 03, 1957",4   (passengers:2  crew:2),?,?,"Near Fort Rupert, Quebec, Canada",Kenting Air,CF-CRL,Great Whale River  Val-dOr,"Crashed on takeoff. The pilot took off in weather conditions below permissible limits, in an area sparsely served with aids to navigation, in an aircraft not equipped with de- icing equipment.",?,1957,414-7546
ACCIDENT DETAILS,Lockheed 1049C Super Constellation,Lockheed 1049C Super ConstellationPH-LKT,68   (passengers:59  crew:9),"July 16, 1957",58   (passengers:49  crew:9),844,0,"Near Biak, Indonesia",KLM Royal Dutch Airlines,PH-LKT,Mokmer - Manila,"The pilot asked for clearance to make a low pass over Mokmer to give the passengers a final glimpse of the island. The plane gradually descended over the sea, crashed, burst into flames, broke apart and sank. Crew did not properly monitor their altitude.",0336,1957,4504
ACCIDENT DETAILS,Douglas C-47A-90 (DC-3),Douglas C-47A-90 (DC-3)43-15867,16   (passengers:9  crew:7),"July 16, 1957",16   (passengers:9  crew:7),?,0,"Near Hsinchu, Taiwan (Formosa)",Military - United States Air Force,43-15867,"Clark Field, Philippines - Taipei, Taiwan","The Air Foce transport was en route when it crashed at Mount Chaiopeng between, Hisinchu and Taipei.",2120,1957,20333
ACCIDENT DETAILS,Convair CV-240,Convair CV-240N8405H,16   (passengers:13  crew:3),"July 25, 1957",1   (passengers:1  crew:0),39,0,"Daggett, California",Western Airlines,N8405H,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,"The plane landed safely after a dynamite bomb exploded in the rear lavatory. A passenger, Saul F. Binstock, 62, a retired North Hollywood jeweler, intent on suicide, detonated a bomb in the rear lavoratory blowing a 6 x 7 ft. hole in the fuselage. Binstock had purchased two insurance policies totaling $125,000 and then flew from Burbank to Las Vegas, where airport personnel at McCarran Field reported he never left the airport terminal. He then boarded the Western Airlines flight bound for Los Angeles and locked himself in the rear lavatory shortly after takeoff. Binstocks body, missing several fingers on the left hand, was found the next day on a rugged peak in the Ord Mountains south of Daggett.",0337,1957,22
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-4CF-MCF,79   (passengers:73  crew:6),"August 11, 1957",79   (passengers:73  crew:6),?,0,"Near Issoudun, Quebec, Canada",Maritime Central Airways,CF-MCF,Reykjavík - Montreal,"The aircraft en route from Reykjavík to Montreal, Canada was flying at 6,000 ft. when it entered a  thunderstorm. Subsequently it plunged to earth almost vertically at a speed calculated at 230 mph, bursting into flames. Severe turbulence encountered while flying in a cumulonimbus cloud, resulting in a chain of events quickly leading up to a complete loss of control.",1415,1957,18374
ACCIDENT DETAILS,Ilyushin IL-14P,Ilyushin IL-14PCCCP-L1874,23   (passengers:18  crew:5),"August 15, 1957",23   (passengers:18  crew:5),103,0,"Copenhagen, Denmark",Aeroflot,CCCP-L1874,Riga - Copenhagen,Crashed into the harbor after hitting the chimney of a factory. Crew error. ATC error.,0630,1957,146000607
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VT-ARH,8   (passengers:0  crew:8),"August 20, 1957",8   (passengers:0  crew:8),?,0,"Assam, India",Indamer,VT-ARH,Supply mission,While making a sharp turn the cargo plane stalled and crashed.,?,1957,04851
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3XH-SAF,12   (passengers:9  crew:3),"August 29, 1957",12   (passengers:9  crew:3),?,0,"Near Juticalpa, Honduras",Sahsa Airlines,XH-SAF,Catacamas - Juticalpa - Tegucigalpa,Blew up and burned in flight after taking off.,?,1957,17139/3440
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3YV-C-AVG,8   (passengers:5  crew:3),"September 03, 1957",8   (passengers:5  crew:3),?,0,"Niquitao, Venezuela",Avensa,YV-C-AVG,Maiquetia - Barinas,Strayed off course and collided with a mountain in the Penas Blancas hills. Pilot error.  Weather's influence on radio communications. Leaving the prescribed route and flying at too low an altitude.,?,1957,4754
