-,AC Type,AC Type.1,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln,Operator Country,rule_based_category,processed_summary,x,y,kmeans_cluster,hybrid_category,kmeans_cluster_interpretation,category_id
ACCIDENT DETAILS,Douglas C-47A-DL,Douglas C-47A-DL43-16044,21   (passengers:18  crew:3),"October 24, 1954",21   (passengers:18  crew:3),?,0,"Near Nice, Italy",Military - U.S. Air Force,43-16044,Rome - Lyons,"Crashed in the Alps, 25 miles northeast of Nice, on the French/Italian border while en route. The instrument flight plan the pilot filed indicated a cruising height that was lower than the authorized minimum altitude required to clear the mountains.",1750,1954,20510,,Control loss,alp mile northeast nice french italian border instrument plan filed indicated cruising height lower authorized altitude required clear mountain,0.13066801614206375,0.09056857081540767,2,Control loss,Control loss,2
ACCIDENT DETAILS,Ilyushin IL -12,Ilyushin IL -12 CCCP-L1789,16   (passengers:13  crew:3),"October 28, 1954",16   (passengers:13  crew:3),136,0,"Krasnoyarsk Territory, Russia",Aeroflot,CCCP-L1789,Krasnoyarsk - Irkutsk,Hit the east slope of Mt Sivukha  located 30 km from the Mana River in strong winds while en route. Crew error.,0010,1954,93013206,Kazakhstan,Weather-related,hit east slope sivukha located mana river wind error,0.13596576013240078,0.06317134091864508,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Lockheed R7V-1,Lockheed R7V-1128441,42   (passengers:21  crew:21),"October 30, 1954",42   (passengers:21  crew:21),57,0,"Off Ocean City, Maryland",Military - U.S. Navy,128441,"Patuxent River NAS - Kenitra, Morocco","The aircraft disappeared approximately 300 miles east of Ocean City, Maryland and no trace of the wreckage or bodies was ever found.",0100,1954,4108,,Shot down/Military action,disappeared mile east ocean maryland trace wreckage body ever found,0.0764118470271617,0.006182332495597642,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Vickers 720 Viscount,Vickers 720 ViscountVH-TVA,8   (passengers:0  crew:8),"October 31, 1954",3   (passengers:0  crew:3),?,0,"Mangalore, Australia",TAA,VH-TVA,Training,"Crashed during takeoff. An error of judgement on the part of the pilot-in-command in that he took the aircraft into the air at a speed below the minimum control speed, following loss of directional control during the ground run.",1510,1954,44,Australia,Control loss,takeoff error judgement command air speed control speed following loss directional control ground run,0.18142361761787792,-0.09860483621230588,2,Control loss,Control loss,2
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3FAP-403,24   (passengers:21  crew:3),"November 16, 1954",24   (passengers:21  crew:3),?,0,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),FAP-403,Pucallpa - Lima,Disappeared over the Andes while en route. Wreckage found 12/04/1954.,?,1954,?,,Unclear cause,disappeared andes wreckage found,0.04590774143414592,0.02279868797743676,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3N17891,7   (passengers:3  crew:4),"November 30, 1954",2   (passengers:0  crew:2),792,0,"Berlin, New Hampshire",Northeast Airlines,N17891,"Boston - Concord - Laconia - Berlin, NH",The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.,1115,1954,11745,United States of America,Weather-related,il berlin premature unauthorized instrument descent altitude permit terrain clearance,0.12272420786063926,0.028549636441867317,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3F-BEIA,29   (passengers:25  crew:4),"December 04, 1954",29   (passengers:25  crew:4),?,0,"Near Luang Pragang, Laos",Air Laos,F-BEIA,Luang Prabang - Nam Tha,Crashed in the jungle about 30 km north of Luang Prabang on the company's first commercial flight.,?,1954,19211,France,Unclear cause,jungle luang prabang company commercial,0.020101847740847223,0.00039063025504664905,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47AOK-WDK,4   (passengers:0  crew:4),"December 12, 1954",4   (passengers:0  crew:4),?,0,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,OK-WDK,Prague - Brno - Bratislava,"Hit the ground while making an approach to land. It is believed that the Pitot tubes heater system was OFF at the time of the accident, which cause several instruments to display wrong parameters, such the altimeters and the speed indicators.",2304,1954,12549,Slovakia,Shot down/Military action,hit ground land believed pitot tube heater system accident instrument display wrong parameter altimeter speed indicator,0.15168251126885007,0.00041795754827845307,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas DC-6B,Douglas DC-6BI-LINE,32   (passengers:22  crew:10),"December 18, 1954",26   (passengers:16  crew:10),451,0,"New York, New York",Linee Aeree Italiane,I-LINE,Rome - New York City,"The plane crashed into approach lights of the runway during the fourth landing attempt at Idlewild Airport, sinking into Jamaica  Bay. An erratic approach which resulted in a descent to an altitude too low to avoid striking the pier. A contributing factor was pilot fatigue due to the particular and difficult circumstances including two and one-half hours in a holding pattern.",1400,1954,44418/487,Italy,Pilot error,light fourth landing attempt idlewild sinking jamaica bay erratic descent altitude low avoid striking pier fatigue particular difficult circumstance including hour holding pattern,0.13538616794858585,-0.027428796132041654,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47AYV-C-AMP,2   (passengers:0  crew:2),"December 18, 1954",2   (passengers:0  crew:2),?,0,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,YV-C-AMP,Bolivar - Tumeremo,The cargo plane crashed into a mountain while en route.,?,1954,19292,Venezuela,Terrain collision,cargo mountain,0.36206757489391705,0.3953145371329986,9,Terrain collision,Terrain collision,9
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3N24320,28   (passengers:23  crew:5),"December 22, 1954",10   (passengers:9  crew:1),4844-C,0,"Pittsburgh, Pennsylvania",Johnson Flying Service,N24320,Newark - Pittsburgh - Colorado Springs,Ditched into the Monongahela River after running out of fuel. Inadequate flight planning. Contributing factors were inadequate crew supervision and training.,2300,1954,20197,United States of America,Weather-related,ditched monongahela river running fuel inadequate planning factor inadequate supervision training,0.06209802249886112,-0.039220520126193134,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Boeing B377-10-28 Stratocruiser,Boeing B377-10-28 StratocruiserG-ALSA,36   (passengers:25  crew:11),"December 25, 1954",28   (passengers:24  crew:4),?,0,"Prestwick, Ayrshire, Scotland",British Overseas Airways,G-ALSA,London - Prestwick - Shannon - Gander - New York,"Crashed short of the runway, landing hard. Pilot error. Errors of judgement on the part of the captain in starting his final approach to land at too steep an angle and flaring out too late and too severely with the result that the aircraft sank and hit the ground short of the runway.",?,1954,15943,United Kingdom,Pilot error,landing error error judgement captain starting land steep angle flaring severely sank hit ground,0.18718855014183652,-0.001957533921872689,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Ilyushin II-14,Ilyushin II-14?,17   (passengers:14  crew:3),"December 31, 1954",17   (passengers:14  crew:3),?,0,"Irkutsk, Russia",Aeroflot,?,Beijing- Irkutsk - Tashkent - Nicosia,Crashed shortly after takeoff from Irkutsk-Magan Airport.,?,1954,?,,Unclear cause,takeoff irkutsk magan,0.1658308087377984,-0.21323969556044017,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Douglas C47,Douglas C47?,12   (passengers:?  crew:?),"January 01, 1955",12   (passengers:?  crew:?),?,0,"Near Anchorage, Alaska",Military - US Air Force,?,Anchorage - Nome,The pilot turned back to make an emergency landing at Skwentna Airport but hit a ridge a mile short of the runway.,?,1955,?,,Shot down/Military action,turned make emergency landing skwentna hit ridge,0.15357685605252458,-0.07594376850898456,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Avro Shackleton M-2 / Avro Shakleton M-2,Avro Shackleton M-2 / Avro Shakleton M-2WG531 / Wl743,18   (passengers:?  crew:?),"January 11, 1955",18   (passengers:?  crew:?),?,0,"Off Skellings, Ireland",Military -Royal Air Force,WG531 / Wl743,?,Disappeared while on a training mission. Two planes collided in midair.,21:00,1955,?,,Weather-related,disappeared training mission plane collided midair,0.03996980916475345,-0.007794685233506734,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Martin 202A / DC-3,Martin 202A / DC-3N93211/N999B,15   (passengers:10  crew:5),"January 12, 1955",15   (passengers:10  crew:5),?,0,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,N93211/N999B,Cincinnati - Cleveland,"Midair collision at 700-900 feet. The DC-3 entered the airport's control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3.",0905,1955,14081 / 4255,United States of America,Control loss,midair collision foot entered control space without clearance communication tower thirteen killed martin,0.10676064330171425,-0.022996374380182424,2,Control loss,Control loss,2
ACCIDENT DETAILS,Grumman G-73 Mallard,Grumman G-73 MallardCF-GEU,5   (passengers:3  crew:2),"January 15, 1955",1   (passengers:1  crew:0),?,0,"London, Ontario, Canada",Ontario Hydro,CF-GEU,Windsor - Toronto,"The aircraft, which had no wing anti-ice capability, flew into unexpected heavy freezing rain and ice, 4 inches thick formed. Needing an emergency landing at London, the pilot requested lights on all runways and approaches be turned on. This was not normally done as it might confuse pilots. This overloaded the lighting circuit and blew a fuse. The plane crash-landed short of the runway and the pilot said it became so hard to control the aircraft that the absence of lights may not have mattered. One passenger died of his injuries almost 30 hours later.",0005,1955,?,Canada,Weather-related,wing anti ice capability flew unexpected heavy freezing rain ice inch thick formed needing emergency landing requested light runway approach turned normally done might confuse pilot overloaded lighting circuit blew fuse crash landed control absence light mattered passenger died injury almost hour,0.14641395893646011,-0.05495495447028676,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Convair CV-340,Convair CV-340N73154,39   (passengers:36  crew:3),"January 19, 1955",0   (passengers:0  crew:0),329,0,"Des Moines, Iowa",United Air Lines,N73154,Newark - Des Moines - Lincoln,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.,1625,1955,180,United States of America,Control loss,almost complete loss elevator control severe vibration experienced de moines steep climb almost stalled captain applied power steep dive captain reduced power headed open country safely made emergency wheel landing corn field series omission made maintenance personnel scheduled inspection release unairworthy condition almost complete loss elevator control,0.16894917737016418,-0.09561815953284229,2,Control loss,Control loss,2
ACCIDENT DETAILS,Consolidated PBY-5 Catalina,Consolidated PBY-5 CatalinaHK-1000E,5   (passengers:4  crew:1),"January 31, 1955",5   (passengers:4  crew:1),?,0,"Lapadrera, Colombia",Interamericana de Aviacion,HK-1000E,Bogota - Villavicencio - Mitu - La Pedrera,The cargo plane crashed into the Caqueta river while attempting to land.,?,1955,?,Colombia,Pilot error,cargo caqueta river land,0.2028609987799178,0.0015488756531023221,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VT-CVB,10   (passengers:6  crew:4),"February 02, 1955",10   (passengers:6  crew:4),?,0,"Nagpur, India",Indian Airlines,VT-CVB,Nagpur - Delhi,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude.",0350,1955,13037,India,Shot down/Military action,field takeoff slipping ground course poorly executed steep port carried night low altitude,0.17660537085879352,-0.04980985631922153,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Bristol 170 Freighter 21E,Bristol 170 Freighter 21EVR-NAD,13   (passengers:9  crew:4),"February 05, 1955",13   (passengers:9  crew:4),?,0,"Near Calabar, Nigeria",West African Airways,VR-NAD,Enugu - Calabar,Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.,1004,1955,12779,Nigeria,Mechanical failure,wing failed design flaw wing led fatigue crack wing failure,0.12618009147234419,-0.1058104088187291,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Douglas DC-6,Douglas DC-6OO-SDB,29   (passengers:21  crew:8),"February 13, 1955",29   (passengers:21  crew:8),?,0,"Abruzzio Mountains, Italy",Sabena,OO-SDB,Brussels - Rome,Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.,1953,1955,43063/60,Belgium,Terrain collision,mountain navigational error failure radio equipment,0.1959833392774414,0.13783677558403915,9,Terrain collision,Terrain collision,9
ACCIDENT DETAILS,Martin 404,Martin 404N40416,16   (passengers:13  crew:3),"February 19, 1955",16   (passengers:13  crew:3),260,0,"Albuquerque, New Mexico",Trans World Airlines,N40416,Albuquerque - Sante Fe,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to ""deviation from course for reasons unknown"" and admitted there may have been a problem with the flux gauge compass.",0731,1955,14120,United States of America,Shot down/Military action,albuquerque flew path directly towards sandia mountain initially blaming pilot intentionally flying mountain year cab changed probable deviation course reason unknown admitted problem flux gauge compass,0.17969116563605073,0.1910341140056351,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VP-YKO,26   (passengers:21  crew:5),"February 23, 1955",1   (passengers:0  crew:1),626,0,"Salisbury,  Zimbabwe",Central African Airways,VP-YKO,Salisbury - Lusaka,The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment.,0920,1955,15109/26554,Malawi,Mechanical failure,retracted landing gear smoke observed cockpit attempted belly land propeller separated penetrated fuselage killing fight engineer presence smoke compartment sufficient quantity make captain apprehensive fire land immediately landing gear retracted fractured rubber hose port engine connecting rocker box lower cylinder collector box smoke enter wheel well compartment,0.15519577681528818,-0.11264563439620956,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,de Havilland DH.104 Dove,de Havilland DH.104 Dove LQ-XWW,7   (passengers:4  crew:3),"February 26, 1955",6   (passengers:4  crew:2),?,?,"Formosa, Argentina",de Havilland Dove,LQ-XWW,?,The aircraft was not able to get airborne and hit the end marker of the runway then hit the airport fence. Use of spark plugs inappropriate to the engine type. Overloaded.,1550,1955,04094,Argentina,Shot down/Military action,able airborne hit end marker hit fence spark plug inappropriate engine type overloaded,0.11982656297075896,-0.06970367966766702,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3PP-YPZ,21   (passengers:18  crew:3),"March 06, 1955",5   (passengers:4  crew:1),?,0,"Vitoria da Conquista, Brazil",REAL,PP-YPZ,?,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism.",?,1955,11699,Brazil,Pilot error,aborted landing attempt unlocked landing gear made hit pole burned error improper throttle following failure landing gear locking mechanism,0.2015345201302064,-0.10694430440716882,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Lockheed 18 LodeStar,Lockheed 18 LodeStarXB-ZEH,6   (passengers:4  crew:2),"March 07, 1955",6   (passengers:4  crew:2),?,?,"Near Cuidad de Valles, Mexic",Private,XB-ZEH,Tampico - Mexico City,"While cruising by night, the twin engine aircraft hit the slope of the Cerro El Sabino located near Ciudad Valles.",?,1955,?,Mexico,Shot down/Military action,cruising night twin engine hit slope cerro sabino located near ciudad valles,0.15419991213491677,-0.0323454413625862,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3XA-DIK,26   (passengers:23  crew:3),"March 08, 1955",26   (passengers:23  crew:3),591,0,"Mascota, Mexico",Mexicana,XA-DIK,Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara,the airplane hit the slope of the Cerro del Cabre located about 20 km northwest of the airport.,1340,1955,3992,Mexico,Shot down/Military action,hit slope cerro del cabre located northwest,0.08022714586509654,0.06021100381696978,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas C-47A,Douglas C-47AHK-328,8   (passengers:5  crew:3),"March 09, 1955",8   (passengers:5  crew:3),?,0,"Trujillo, Colombia",AVIANCA,HK-328,Condoto - Cali,The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later.,1515,1955,20224,Colombia,Cargo mishandling,cargo gold platinum shipment aboard wreckage found month,0.11114933782796796,0.012959694051588233,0,Cargo mishandling,Cargo mishandling,0
ACCIDENT DETAILS,Convair CV-240-0,Convair CV-240-0N94234,35   (passengers:32  crew:3),"March 20, 1955",13   (passengers:11  crew:2),711,0,"Springfield, Missouri",American Airlines,N94234,Newark - Chicago - St. Louis - Springfield - Tulsa,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.,2236,1955,066,United States of America,Pilot error,mile land inattention instrument sensory illusion gave false impression altitude,0.12233874193330432,0.010474612859012746,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Douglas R6D-1 (C-118B),Douglas R6D-1 (C-118B)131612,66   (passengers:57  crew:9),"March 22, 1955",66   (passengers:57  crew:9),?,0,"Oahu, Hawaii",Military - U.S. Navy,131612,Tokyo - Hickam - Travis,"The aircraft returned to Hickam Airfield because of inoperative high-frequency radio transmitters. As the plane was descending to land, it crashed into Pali Kea peak, 15 miles northwest of Honolulu. Navigational error by the crew brought the plane 8 miles north of its intended position.",0203,1955,43715,,Pilot error,returned hickam airfield inoperative high frequency radio transmitter descending land pali kea peak mile northwest honolulu navigational error brought mile intended position,0.13715827653590731,0.03450533256418551,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Boeing 377 Stratocruiser 10-26,Boeing 377 Stratocruiser 10-26N1032V,23   (passengers:15  crew:8),"March 26, 1955",4   (passengers:2  crew:2),845/26,0,Off the Oregon coast,Pan American World Airways,N1032V,Portland - Honolulu,"The plane ditched 35 miles off the Oregon coast after the No. 3 engine and propeller broke away causing severe control difficulties. The plane sank after 20 minutes. Loss of control and inability to maintain altitude following failure of the No. 3 propeller which resulted in wrenching free the No. 3 power  package. The aircraft was named ""Clipper United States.""",1112,1955,15932,United States of America,Control loss,ditched mile oregon coast engine propeller broke away severe control difficulty sank minute loss control inability altitude following failure propeller wrenching free power package clipper united state,0.21428271731004012,-0.15819251886554941,2,Control loss,Control loss,2
ACCIDENT DETAILS,Curtiss C-46A,Curtiss C-46AN51424,2   (passengers:0  crew:2),"April 02, 1955",2   (passengers:0  crew:2),?,0,"Off Pensacola, Florida",Aaxico Airlines,N51424,"Mobile, AL - Macon, GA",The cargo plane flew into a thunderstorm and crashed into the sea  in the Gulf of Mexico while en route.,?,1955,30430,United States of America,Weather-related,cargo flew thunderstorm sea gulf mexico,0.1262539046968309,0.024826789849618447,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Douglas DC-6,Douglas DC-6N37512,3   (passengers:0  crew:3),"April 04, 1955",3   (passengers:0  crew:3),?,0,"Islip, New York",United Air Lines,N37512,Training,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne.",1555,1955,43001/32,United States of America,Mechanical failure,dove ground unintentional movement throttle reverse range breaking ground engine operating high power output quickly becoming uncontrollable airborne,0.13164945661772565,-0.07849124343993785,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Lockheed 749A Constellation,Lockheed 749A ConstellationVT-DEP,19   (passengers:11  crew:8),"April 11, 1955",19   (passengers:11  crew:8),?,0,"Off Great Natuna Island, Sarawak",Air India,VT-DEP,Hong Kong - Jakarta,"An explosion occurred at 18,000 feet while over the China Sea. A resulting fire which started on the starboard wing soon spread and eventually led to total hydraulic and electrical failure. Smoke filled the cockpit and the plane crashed. An act of political terrorism.  An aircraft worker placed an incendiary device in the starboard wheel wella by an airport worker. The plane was named ""Kashmir Princess.""",1730,1955,2666,India,Shot down/Military action,explosion occurred foot china sea fire starboard wing spread led total hydraulic electrical failure smoke filled cockpit act political terrorism placed incendiary device starboard wheel wella kashmir princess,0.11331710389785815,-0.0892062499380409,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,de Havilland DH-114 Heron 1B,de Havilland DH-114 Heron 1BF-BGOI,14   (passengers:10  crew:4),"April 18, 1955",12   (passengers:9  crew:3),?,0,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,F-BGOI,Yaounde - Douala,The aircraft hit the slope of Mt Koupé located about 80 km north of Douala. Wreckage found after 10 months.,?,1955,14010,France,Shot down/Military action,hit slope koup located douala wreckage found month,0.10032707659561668,0.06783351927264662,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VP-KKH,20   (passengers:16  crew:4),"May 18, 1955",20   (passengers:16  crew:4),?,0,"Mt. Kilimanjaro, Kenya",East African Airways,VP-KKH,Dar-es-Salaam - Nairobi,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.,1156,1955,16820/33568,Kenya,Mechanical failure,reporting jipe lake slope kilimanjaro failure follow prescribed procedure,0.10913651361128164,-0.020451331013946132,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Douglas C-47-DL,Douglas C-47-DLYV-C-ALU,16   (passengers:13  crew:3),"May 21, 1955",4   (passengers:4  crew:0),?,0,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,YV-C-ALU,Caracas - Barcelona,Ditched into the sea a few km from shore.,?,1955,4791,Venezuela,Unclear cause,ditched sea shore,0.046515082707050036,-0.02606797635036301,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Avro 685 York C-1,Avro 685 York C-1CF-HMY,2   (passengers:0  crew:2),"May 26, 1955",2   (passengers:0  crew:2),?,0,"Edmonton, Alberta, Canada",Associated Airways,CF-HMY,?,"The attempt of the pilot to takeoff under the prevailing unfavorable conditions. As a result, the aircraft hit an instrument landing building and crashed into a rail yard.",1427,1955,MW237,Canada,Shot down/Military action,attempt takeoff prevailing unfavorable condition hit instrument landing building rail yard,0.22254760201039406,-0.04918861661890598,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Douglas C-54A,Douglas C-54AF-BFVT,3   (passengers:0  crew:3),"June 03, 1955",3   (passengers:0  crew:3),?,0,"Fort Lamy, Cameroon",Union Aéromaritime de Transport,F-BFVT,Douala - Fort Lamy,The cargo plane crashed while attempting to land.,?,1955,10292,France,Pilot error,cargo land,0.2655854755415739,0.024801191754103686,7,Pilot error,Pilot error,7
ACCIDENT DETAILS,Lockheed 049-46-21 Constellation,Lockheed 049-46-21 ConstellationPP-PDJ,24   (passengers:14  crew:10),"June 16, 1955",16   (passengers:9  crew:7),?,0,"Near Asuncion, Paraguay",Panair do Brasil,PP-PDJ,Sao Paulo - Asuncion,Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.,0115,1955,2032,Brazil,Unclear cause,fatigue follow recommended instrument descended height prescribed chart,0.07065363440818187,0.007668990303875825,12,Weather-related,Weather-related,12
ACCIDENT DETAILS,Curtiss C-46,Curtiss C-46XA-LID,39   (passengers:36  crew:3),"June 18, 1955",18   (passengers:18  crew:0),?,0,"Leon, Mexico",Tigres Voladores,XA-LID,Leon - Mexico City,Lost an engine on takeoff and crashed into trees and caught fire.,?,1955,?,Mexico,Explosion/Fire,lost engine takeoff tree caught fire,0.3457380391623168,-0.36052824174553155,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,Douglas DC-2-243,Douglas DC-2-243XA-DOB,22   (passengers:19  crew:3),"July 14, 1955",22   (passengers:19  crew:3),?,0,"Oaxaca, Mexico",Lineas Areas Unidas,XA-DOB,Acapulco - Oaxaca,Crashed in a mountainous area located 39 km from the airport in the Zimathan district while en route.,1545,1955,2088,Mexico,Terrain collision,mountainous located zimathan,0.04621950456303339,0.03106018294031109,9,Terrain collision,Terrain collision,9
ACCIDENT DETAILS,Convair CV-340-32,Convair CV-340-32N3422,43   (passengers:40  crew:3),"July 17, 1955",22   (passengers:20  crew:2),560,0,"Chicago, Illinois",Braniff Airlines,N3422,"Kansas City, MO - Chicago","While on instrument approach, the aircraft hit a sign and crashed through the airport boundry fence.  Momentary disorientation caused by the loss of visual reference during the final visual phase of the approach resulting in an increased rate of descent at an altitude too low to effect recovery.",0624,1955,071,United States of America,Shot down/Military action,instrument hit sign boundry fence momentary disorientation loss visual reference visual phase increased rate descent altitude low effect recovery,0.1342407872265045,0.002813538967932759,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Lockheed 049 Constellation,Lockheed 049 Constellation4X-AKC,58   (passengers:51  crew:7),"July 27, 1955",58   (passengers:51  crew:7),402/46,0,"Near Petrich, Bulgaria",El Al,4X-AKC,London - Paris - Vienna - Tel Aviv,"On a flight from London, England to Tel Aviv, the aircraft drifted over Bulgarian airspace and was shot down by Bulgarian jet fighters. A navigational error that probably originated with an incorrect radio compass indication due to the effects of thunderstorm activity in the area.",0738,1955,1968,Israel,Shot down/Military action,england tel aviv drifted bulgarian airspace shot bulgarian jet fighter navigational error probably originated incorrect radio compass indication effect thunderstorm activity,0.06853393347020359,0.009726269627008342,8,Shot down/Military action,Shot down/Military action,8
ACCIDENT DETAILS,Convair CV-240-0,Convair CV-240-0N94221,30   (passengers:27  crew:3),"August 04, 1955",30   (passengers:27  crew:3),476,0,"Fort Leonard Wood, Missouri",American Airlines,N94221,"Springfield, IL - St. Louis, MO",The aircraft attempted an emergency landing at a military airstrip after fire broke out in the No. 2 engine. The right wing separated from the aircraft and crashed 1.5 miles from the runway. Installation of an unairworthy cylinder in the No. 2 engine which resulted in an uncontrollable fire and loss of the right wing.,1223,1955,040,United States of America,Mechanical failure,attempted emergency landing military airstrip fire broke engine wing separated mile installation unairworthy cylinder engine uncontrollable fire loss wing,0.2888301223285645,-0.28240573060531265,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Aeroflot,AeroflotL5057,25   (passengers:20  crew:5),"August 05, 1955",25   (passengers:20  crew:5),214,0,"Near Voronezh, Russia",Aeroflot,L5057,Starllingrad - Moscow.,The right engine caught on fire due to a fuel leak leading to distruction of the plane in the air.,1518,1955,4340408,,Explosion/Fire,engine caught fire fuel leak leading distruction air,0.19275121576789966,-0.22165910658051025,3,Explosion/Fire,Explosion/Fire,3
ACCIDENT DETAILS,Fairchild C119G / Fairchild C119G,Fairchild C119G / Fairchild C119G53-3222/53-7841,67   (passengers:57  crew:10),"August 11, 1955",67   (passengers:57  crew:10),?,0,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,53-3222/53-7841,Dreux - Stuttgart,"Participating in a U.S. military exercise, the two planes collided in midair while in formation after one of the planes pulled out of formation because of engine trouble. The accident occurred at an altitude of 4,000 feet.  Forty-six aboard 7841 and 20 aboard 3222 were killed.",14:20,1955,11258,,Mechanical failure,participating military exercise plane collided midair formation plane pulled formation engine trouble accident occurred altitude foot forty aboard aboard killed,0.11608569726525629,-0.06696499889230434,6,Mechanical failure,Mechanical failure,6
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3PP-CBY,13   (passengers:9  crew:4),"August 26, 1955",13   (passengers:9  crew:4),?,0,"Caparao Mountain, Brazil",Cruzeiro,PP-CBY,Rio de Janeiro - Caravelas,"Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan.",0800,1955,11692,Brazil,Mechanical failure,hit caparao mountain failure follow plan,0.20998023995064105,0.13979324116949388,6,Mechanical failure,Mechanical failure,6
